CD_CVM	DENOM_SOCIAL	DENOM_COMERC	SETOR_ATIV	PF_PJ	CNPJ	DT_REG	DT_CONST	DT_CANCEL	MOTIVO_CANCEL	SIT_REG	DT_INI_SIT	SIT_EMISSOR	DT_INI_SIT_EMISSOR	CATEG_REG	DT_INI_CATEG	AUDITOR	CNPJ_AUDITOR	TP_ENDER	LOGRADOURO	COMPL	BAIRRO	CIDADE	UF	PAIS	CD_POSTAL	TEL	FAX	EMAIL	TP_RESP	RESP	DT_INI_RESP	LOGRADOURO_RESP	COMPL_RESP	BAIRRO_RESP	CIDADE_RESP	UF_RESP	PAIS_RESP	CEP_RESP	TEL_RESP	FAX_RESP	EMAIL_RESP	TP_MERC
19925	BR PROPERTIES S.A.	BR PROPERTIES S.A.	Emp. Adm. Part. - Sem Setor Principal	PJ	6977751000149	04/01/2006	26/05/2004			ATIVO	04/01/2006	FASE OPERACIONAL	22/12/2006	Categoria A	01/01/2010	ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	Av. das Nações Unidas, 12495, 18º andar, escritório 181	Torre A	Brooklin	SÃO PAULO	SP	BRASIL		(11) 32011000	(11) 32011001	ri@brpr.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	ANDRÉ BERGSTEIN	02/05/2017	AV. DAS NAÇÕES UNIDAS, 12495	TORRE A, 18º ANDAR	BROOKLIN NOVO	SÃO PAULO	SP		4578000	(11) 32011000	(11) 32011001	ri@brpr.com.br	BOLSA
23205	BR TOWERS SPE1 S.A.		Máquinas, Equipamentos, Veículos e Peças	PJ	14206371000139	20/09/2013	16/08/2011	05/12/2018	Cancelamento Voluntário - IN CVM 480/09	CANCELADA	05/12/2018	FASE OPERACIONAL	08/08/2013	Categoria B	08/08/2013	BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES	54276936000179	SEDE	Rua Olimpíadas, 205, Sala 04	8º andar	Vila Olímpia	SÃO PAULO	SP	BRASIL		(11) 47664383	(11) 47664383	Cecilia.Fantinelli@americantower.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	MARIA CECILIA CALZA FANTINELLI	08/05/2015	RUA OLIMPÍADAS, 205	8º ANDAR	VILA OLÍMPIA	SÃO PAULO	SP		4551000	(11) 30186600	(11) 30186636	cecilia.fantinelli@americantower.com	
1600	BRADESCO BCN LEASING S/A ARR MERCANTIL	BRADESCO BCN LEASING	ARRENDAMENTO MERCANTIL	PJ	62868302000133	20/07/1977	01/01/1970	01/09/2004	INCORPORAÇÃO	CANCELADA	01/09/2004					KPMG AUDITORES INDEPENDENTES	57755217000129	SEDE	AVENIDA ALPHAVILLE, 1500	PISO 3	ALPHAVILLE	BARUERI	SP	BRASIL		(11) 41972906	(11) 41972801	4130.osmarpinho@bradesco.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	JOSE LUIZ ACAR PEDRO	20/07/1977	AV. NAÇÕES UNIDAS, 12901 - 14º	ANDAR	BROOKLIN	SÃO PAULO	SP		4578903	(11  ) 55092800	(11  ) 55092803	1103.jlacar@bcn.com.br	BOLSA
12386	BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL	BRADESCO LEASING SA ARREND MERCANTIL	ARRENDAMENTO MERCANTIL	PJ	47509120000182	12/06/1985		15/09/1989	ATENDIMENTO AS NORMAS DA INSTR CVM 03/78	CANCELADA	15/09/1989					PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES	61562112000120	SEDE	Núcleo Cidade de Deus - Prédio Prata	2º andar	Vila Yara	OSASCO	SP	BRASIL		(11) 36842696	(11) 36842437	leandro.diniz@bradesco.com.br														BALCÃO NÃO ORGANIZADO
17027	BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL	BRADESCO LEASING SA ARREND MERCANTIL	ARRENDAMENTO MERCANTIL	PJ	47509120000182	06/04/1998	05/11/1981	18/06/2001	ATENDIMENTO AS NORMAS DA INSTR CVM 229/95	CANCELADA	18/06/2001					PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES	61562112000120	SEDE	Núcleo Cidade de Deus - Prédio Prata	2º andar	Vila Yara	OSASCO	SP	BRASIL		(11) 36842696	(11) 36842437	leandro.diniz@bradesco.com.br														
19640	BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL	BRADESCO LEASING SA ARREND MERCANTIL	ARRENDAMENTO MERCANTIL	PJ	47509120000182	24/11/2004	01/01/2002			ATIVO	24/11/2004	FASE OPERACIONAL	24/11/2004	Categoria B	01/01/2010	KPMG AUDITORES INDEPENDENTES	57755217000129	SEDE	Núcleo Cidade de Deus - Prédio Prata	2º andar	Vila Yara	OSASCO	SP	BRASIL		(11) 36842696	(11) 36842437	leandro.diniz@bradesco.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	LEANDRO DE MIRANDA ARAUJO	04/06/2019	NÚCLEO CIDADE DE DEUS - PRÉDIO	2º ANDAR	VILA YARA	OSASCO	SP		6029900	(11) 3684944	(11) 3684944	diretoria_ri@bradesco.com.br	BALCÃO NÃO ORGANIZADO
7986	BRADESCO LEASING S.A. ARREND. MERCANTIL	BRADESCO LEASING S.A. ARREND. MERCANTIL	ARRENDAMENTO MERCANTIL	PJ	43833821000111	24/06/1981		04/07/1989	ATENDIMENTO AS NORMAS DA INSTR CVM 03/78	CANCELADA	04/07/1989					PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES	61562112000120	SEDE	CIDADE DE DEUS		VILA YARA	OSASCO	SP	BRASIL		(11) 36842126	(11) 36813986	5240.leasing@bradesco.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	ALCIDES LOPES TAPIAS	24/06/1981	CIDADE DE DEUS			OSASCO	SP		6029000	(11) 7042122			
13757	BRADESCO LEASING S.A. ARREND. MERCANTIL	BRADESCO LEASING S.A. ARREND. MERCANTIL	ARRENDAMENTO MERCANTIL	PJ	43833821000111	27/11/1990	09/11/1973	28/02/2003	INCORPORAÇÃO	CANCELADA	28/02/2003					KPMG AUDITORES INDEPENDENTES	57755217000129	SEDE	CIDADE DE DEUS		VILA YARA	OSASCO	SP	BRASIL		(11) 36842126	(11) 36813986	5240.leasing@bradesco.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	LUIZ CARLOS TRABUCO CAPPI	27/11/1990	CIDADE DE DEUS S/Nº		VILA YARA	OSASCO	SP		6029900	(11) 36845376	(11) 36842564	4000.diretoria@bradesco.com.br	
1848	BRADESCO TURISMO SA ADM E SERV	BRADESCO TURISMO	HOSPEDAGEM E TURISMO	PJ	60885068000127	05/04/1971		15/06/1988	ATENDIMENTO AS NORMAS DA INSTR CVM 03/78	CANCELADA	15/06/1988					SOTEC AUD AUDITORES INDEP SC	60614377000162	SEDE	CIDADE DE DEUS			OSASCO	SP	BRASIL		(11) 7043311			DIRETOR DE RELAÇÕES COM INVESTIDORES	ALCIDES LOPES TAPIAS	05/04/1971	CIDADE DE DEUS			OSASCO	SP		6029000	(11) 7042122			BOLSA
18724	BRADESPAR S/A	BRADESPAR S/A	Emp. Adm. Part. - Extração Mineral	PJ	3847461000192	07/08/2000	30/03/2000			ATIVO	07/08/2000	FASE OPERACIONAL	07/08/2000	Categoria A	01/01/2010	KPMG AUDITORES INDEPENDENTES	57755217000129	SEDE	Avenida Paulista, 1.450	9º andar	Cerqueira César	SÃO PAULO	SP	BRASIL		(11) 21786300	(11) 21786315	bradespar@bradespar.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	FERNANDO JORGE BUSO GOMES	25/04/2015	AVENIDA PAULISTA, 1.450	9º ANDAR	CERQUEIRA CÉSAR	SÃO PAULO	SP		1310917	(011) 21786300	(011) 21786315	bradespar@bradespar.com	BOLSA
18180	BRADESPLAN PARTICIPAÇOES SA	BRADESPLAN PARTICIPAÇÕES S.A.	Emp. Adm. Part. - Intermediação Financeira	PJ	61782769000101	02/03/1999	11/08/1967	07/02/2006	ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02	CANCELADA	07/02/2006					DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES	49928567000111	SEDE	CIDADE DE DEUS S/Nº		VILA YARA	OSASCO	SP	BRASIL		(11) 30493900	(11) 30493935	bradespar@bradespar.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	JOãO MOISéS DE OLIVEIRA	02/03/1999	AVENIDA PAULISTA, Nº 1.450, PA	9º ANDAR	CERQUEIRA CéSAR	SÃO PAULO	SP		1310917	(11) 21786300	(11) 21786315	BRADESPAR@BRADESPAR.COM	
14478	BRAFCO SA	BRAFCO SA	COMÉRCIO (ATACADO E VAREJO)	PJ	68587724000117	07/07/1994		20/12/2005	CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98	CANCELADA	20/12/2005	FASE OPERACIONAL	21/10/2002			ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	AV RIO BRANCO 128/9 AND PARTE			RIO DE JANEIRO	RJ	BRASIL		(21) 22215177	(21) 22635456		DIRETOR DE RELAÇÕES COM INVESTIDORES	FLAVIO HESSEE DE MEIRA PENNA	07/07/1994	AV RIO BRANCO 128/9 AND PARTE			RIO DE JANEIRO	RJ		20040002	(21) 2215177	(0021) 2635456		BALCÃO NÃO ORGANIZADO
1856	BRAFER INDL SA PRODS SIDERURG	BRAFER	METALURGIA E SIDERURGIA	PJ	17246695000199	20/07/1977		07/03/1995	ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78	CANCELADA	07/03/1995					CASTRO SERRA NIRDO - AUDITORES INDEPENDENTES	17275579000106	SEDE	R HECKEL BEN-HUR SALVADOR 1001			CONTAGEM	MG	BRASIL		(31) 3514599	(31) 3514774		DIRETOR DE RELAÇÕES COM INVESTIDORES	GERALDO LEMOS NETO	20/07/1977	R HECKEL BEN-HUR SALVADOR 1001			CONTAGEM	MG		32010000	(31) 3514599			BOLSA
7714	BRAMPAC SA	ITAP	EMBALAGENS	PJ	61149084000114	14/03/1956		19/09/2000	ATENDIMENTO AS NORMAS DA INSTR CVM 229/95	CANCELADA	19/09/2000					ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	R TENENTE NEGRÃO Nº 140/13º		ITAIM BIBI	SÃO PAULO	SP	BRASIL		(11) 30491300	(11) 8298621	gino@amcham.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	JACQUES SIEKIERSKI	14/03/1956	R TENENTE NEGRÃO Nº 140/13º		ITAIM BIBI	SÃO PAULO	SP		4530030	(11) 30491300	(11) 8298621	gino@amcham.com.br	BOLSA
18147	BRASCAN IMOBILIARIA SA	BRASCAN IMOBILIÁRIA S.A.	Construção Civil, Mat. Constr. e Decoração	PJ	1187338000167	22/01/1999	01/07/1997	10/07/2003	ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02	CANCELADA	10/07/2003					DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES	49928567000111	SEDE	RUA LAURO MULLER, 116 - 28º AN	DAR	BOTAFOGO	RIO DE JANEIRO	RJ	BRASIL		(21) 25467569	(21) 25467412	brascan@brascan.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	RODNEY BARRETO	22/01/1999	RUA LAURO MULLER, 116	28º ANDAR	BOTAFOGO	RIO DE JANEIRO	RJ		22299900	(21) 25467586	(21) 25467555	RB@BRASCAN.COM.BR	BALCÃO NÃO ORGANIZADO
20109	BRASIL & MOVIMENTOS S/A	BRASIL & MOVIMENTOS S/A	Máquinas, Equipamentos, Veículos e Peças	PJ	84489996000130	09/06/2006	01/12/1993	30/03/2009	ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02	CANCELADA	30/03/2009					ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	AV. DOS OITIS,2214		DIST. INDUSTRIAL	MANAUS	AM	BRASIL		(92) 21211400	(92) 21211401	dirfinanceira@sundownnet.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	LAéRCIO GERONASSO	05/11/2007	ALAMEDA MADEIRA, 292	AP. 1709	CENTRO EMPRESARIAL	BARUERI	SP		6454010	(11) 21034803	(11) 21034882	RI@SUNDOWNNET.COM.BR	BOLSA
1937	BRASIL BELEM HOTEIS E TURISMO SA	BRASILTON	HOSPEDAGEM E TURISMO	PJ	4833448000147	08/08/1974		04/01/2010	Cancelamento de ofício - IN CVM 480/09	CANCELADA	04/01/2010			Categoria A	01/01/2010	AUDINORTE AUDITORES INDEPENDENTES SC	5018932000185	SEDE	TRAV CAMPOS SALES 63/11			BELÉM	PA	BRASIL		(91) 2225911	(91) 2252942		DIRETOR DE RELAÇÕES COM INVESTIDORES	CLOVIS ARMANDO LEMOS CARNEIRO	08/08/1974	TRAV CAMPOS SALES 63/11			BELÉM	PA		66020000	(91) 2225911			BALCÃO NÃO ORGANIZADO
13927	BRASIL BETON SA	BRASIL BETON	Construção Civil, Mat. Constr. e Decoração	PJ	66890369000125	24/10/1991		25/05/1995	ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78	CANCELADA	25/05/1995					DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES	49928567000111	SEDE	AV ALMIRANTE BARROSO 52/15 AND			RIO DE JANEIRO	RJ	BRASIL		(21) 22173100	(21) 22627218		DIRETOR DE RELAÇÕES COM INVESTIDORES	METON PORTO GADELHA	24/10/1991	RUA BOA VISTA 185/5 ANDAR			SÃO PAULO	SP		1014000	(11) 351098	(0011) 2627218		BOLSA
21180	BRASIL BROKERS PARTICIPAÇÕES SA	BRASIL BROKERS	Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração	PJ	8613550000198	26/10/2007	16/01/2007			ATIVO	26/10/2007	FASE OPERACIONAL	26/10/2007	Categoria A	01/01/2010	GRANT THORNTON AUDITORES INDEPENDENTES	10830108000165	SEDE	Avenida Luis Carlos Prestes, nº 230	salas 104,105 e 106	Barra da Tijuca	RIO DE JANEIRO	RJ	BRASIL		(21) 34333000	(21) 34333065	ri@brbrokers.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	ANDREAS YAMAGATA	18/08/2015	AV. LUIS CARLOS PRESTES, 230	SALA 104	BARRA DA TIJUCA	RIO DE JANEIRO	RJ		22775055	(21) 34333043	(21) 34333065	ri@brbrokers.com.br	BOLSA
1880	BRASIL CENTRAL HOTEIS E TUR SA	ERON BRASILIA HOTEL	HOSPEDAGEM E TURISMO	PJ	311787000102	28/02/1973		30/12/1998	ATENDIMENTO AS NORMAS DA INSTR CVM 229/95	CANCELADA	30/12/1998					PAES DE MENEZES AUD INDEP SC	54640412000115	SEDE	RUA ESTADOS UNIDOS,388-J.PAUL.			SÃO PAULO	SP	BRASIL		(11) 8855111	(11) 8876767		DIRETOR DE RELAÇÕES COM INVESTIDORES	ADILSON CAPPUCCI	28/02/1973	RUA ESTADOS UNIDOS,388-J.PAUL.			SÃO PAULO	SP		1427000	(11) 8855111			BALCÃO NÃO ORGANIZADO
17353	BRASIL FERROVIAS S.A.	BRASIL FERROVIAS S.A.	Serviços Transporte e Logística	PJ	2457269000127	12/06/1998	02/06/1998	17/07/2008	ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02	CANCELADA	17/07/2008					ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	RODOVIA ANHAGUERA, KM 24,2	SALA 8	JARDIM JARAGUA	SÃO PAULO	SP	BRASIL		(41) 21417558	(41) 21417220	sergiop@all-logistica.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	SÉRGIO MESSIAS PEDREIRO	12/07/2007	RUA EMILIO BERTOLINI, 100	PRESIDÊNCIA	CAJURU	CURITIBA	PR		82920030	(41  ) 21417910	(41  ) 33656566	SERGIOP@ALL-LOGISTICA.COM	BOLSA
13110	BRASIL OITICICA S/A	BRASIL OITICICA	ALIMENTOS	PJ	33206475000198	09/01/1987		22/03/2005	CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98	CANCELADA	22/03/2005					CONTROLE AUDITORES INDEPENDENTES - EPP	11773314000143	SEDE	AV FRANCISCO SA 3190		CARLITO PAMPLONA	FORTALEZA	CE	BRASIL		(85) 2230011			DIRETOR DE RELAÇÕES COM INVESTIDORES	GERALDO NOGUEIRA LEAO	09/01/1987	AV FRANCISCO SA 3190			FORTALEZA	CE		60310000	(85) 2230011			BALCÃO NÃO ORGANIZADO
1899	BRASIL OLEOS INDUSTRIA COMERCIO SA BRASOLEO	BRASOLEO	ALIMENTOS	PJ	6022461000141	20/07/1977		20/12/2005	CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98	CANCELADA	20/12/2005					AUDIMEC AUDITORES INDEPENDENTES S/S - EPP	11254307000135	SEDE	RUA DIAS CARNEIRO,1536			BACABAL	MA	BRASIL		(98) 6211200			DIRETOR DE RELAÇÕES COM INVESTIDORES	FRANCISCO DE ASSIS P.SANTOS	20/07/1977	RUA DIAS CARNEIRO,1536			BACABAL	MA		65700000	(98) 6211200			BALCÃO NÃO ORGANIZADO
22233	BRASIL PLURAL SECURITIZADORA S.A.	PLURAL CAPITAL SECURITIZADORA S/A	SECURITIZAÇÃO DE RECEBÍVEIS	PJ	12610764000188	09/11/2010	18/08/2010	30/04/2018	ELISÃO POR INCORPORAÇÃO	CANCELADA	30/04/2018	FASE OPERACIONAL	10/09/2011	Categoria B	09/11/2010	KPMG AUDITORES INDEPENDENTES	57755217000129	SEDE	Rua Tabapuã, 1.123.	21º Andar	Itaim Bibi	SÃO PAULO	SP	BRASIL		(11) 33207474	(11) 33207474	gestao@isecbrasil.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	FERNANDO PINILHA CRUZ	18/10/2013	RUA TABAPUÃ, 1123	21º ANDAR CJ. 215	ITAIM BIBI	SÃO PAULO	SP		4533004	(5511) 33207470	(5511) 33207470	gestao@isecbrasil.com.br	
24287	BRASIL SECURITIZADORA S.A.	BRASIL SECURITIZADORA S.A.	SECURITIZAÇÃO DE RECEBÍVEIS	PJ	13483537000100	12/12/2017	06/04/2011			ATIVO	12/12/2017	FASE OPERACIONAL	21/12/2016	Categoria B	12/12/2017	AUDIFACTOR AUDITORES INDEPENDENTES S/S	7037795000151	SEDE	RUA GERONIMO CORREIA, 449	SALA 02	CENTRO		SC	BRASIL		(47) 33735040	(47) 33735040	chd@brasilsec.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	CARLOS HUGO DEQUÊCH	03/11/2015	RUA GERÔNIMO CORREA, 449	SALA 02	CENTRO	GUARAMIRIM	SC		89270000	(47) 33735040	(47) 337350040	dequech@brasilsec.com.br	
17680	BRASIL TELECOM PARTICIPAÇÕES SA	BRASIL TELECOM PARTICIPAÇÕES S.A.	Emp. Adm. Part. - Telecomunicações	PJ	2570688000170	19/08/1998	22/05/1998	30/09/2009	ELISÃO POR INCORPORAÇÃO	CANCELADA	30/09/2009					DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES	49928567000111	SEDE	RUA HUMBERTO DE CAMPOS, 425	- 8º ANDAR	LEBLON	RIO DE JANEIRO	RJ	BRASIL		(21) 31311123	(21) 31311144	invest@oi.net.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	ALEX WALDEMAR ZORNIG	08/01/2009	RUA HUMBERTO DE CAMPOS, 425	8º ANDAR	LEBLON	RIO DE JANEIRO	RJ		22430190	(21) 31311212	(21) 31311155	ALEX.ZORNIG@OI.NET.BR	BOLSA
22705	BRASIL TRAVEL TURISMO E PARTICIPAÇÕES S/A	BRASIL TRAVEL TURISMO E PARTICIPAÇÕES S/A	Emp. Adm. Part. - Hospedagem e Turismo	PJ	13776362000110	30/01/2012	03/05/2011	03/09/2012	Cancelamento Voluntário - IN CVM 480/09	CANCELADA	03/09/2012	FASE OPERACIONAL	07/12/2011	Categoria A	07/12/2011	BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES	54276936000179	SEDE	Rua Fidêncio Ramos, nº 195	conjunto 15	Vila Olímpia	SÃO PAULO	SP	BRASIL		(11) 30452553	(11) 30452553	ri@brasiltravel.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	MARCO ANTONIO ROSADO FRANÇA	29/11/2011	RUA FIDENCIO RAMOS, 195	CONJ. 195	VILA OLIMPIA	SÃO PAULO	SP		4551010	(11) 30452553	(11) 30452553	ri@brasiltravel.com.br	
20036	BRASILAGRO CIA BRAS DE PROP AGRICOLAS	BRASILAGRO CIA BRAS DE PROP AGRICOLAS	AGRICULTURA (AÇUCAR, ALCOOL E CANA)	PJ	7628528000159	25/04/2006	23/09/2005			ATIVO	25/04/2006	FASE OPERACIONAL	25/04/2006	Categoria A	01/01/2010	PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES	61562112000120	SEDE	Av. Brigadeiro Faria Lima, 1.309	5º andar	Jardim Paulistano	SÃO PAULO	SP	BRASIL		(011) 30355350	(11) 59084344	ri@brasil-agro.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	GUSTAVO JAVIER LOPEZ	19/08/2016	AV. BRIGADEIRO FARIA LIMA	1.309 - 5º ANDAR	JARDIM PAULISTANO	SÃO PAULO	SP		1452002	(11) 30355350	(11) 30355366	ri@brasil-agro.com	BOLSA
19534	BRASILIANA ENERGIA SA	BRASILIANA ENERGIA SA	ENERGIA ELÉTRICA	PJ	5482166000105	15/04/2004	01/01/2003	30/09/2006	ELISÃO POR INCORPORAÇÃO	CANCELADA	30/09/2006					ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	PÇ PROF JOSE LANNES, 40/14 AND	PARTE	BROOKLIN NOVO	SÃO PAULO	SP	BRASIL		(11) 55017421	(11) 55017669	clarice.assi@aes.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	BRITALDO PEDROSA SOARES	16/02/2006	RUA LOURENçO MARQUES	158	VILA OLIMPIA	SÃO PAULO	SP		4547100	(11) 21957050	(11) 21952147	BRITALDO.SOARES@AES.COM	BALCÃO NÃO ORGANIZADO
23930	BRASILIANA PARTICIPAÇÕES S.A.	BRASILIANA PARTICIPAÇÕES S.A.	Emp. Adm. Part. - Energia Elétrica	PJ	8773191000136	23/06/2016	16/02/2007			ATIVO	23/06/2016	FASE OPERACIONAL	29/02/2016	Categoria A	29/02/2016	ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	Av. Doutor Marcos Penteado de Ulhôa Rodrigues, 939, Torre II	7º andar, sala IN 2	Sítio Tamboré	BARUERI	SP	BRASIL		(11) 21957048	(11) 21952155	ri.brasilianapar@aes.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	CLARISSA DELLA SADOCK ACCORSI	09/11/2018	AV. DAS NAÇÕES UNIDAS, 12.495	12º ANDAR	BROOKLIN PAULISTA	SÃO PAULO			4578000	(11) 41974925	(0) 0	ri.brasilianapar@aes.com	
1902	BRASILINVEST INFORM.TELEC.S/A	BRASILINVEST T	Máquinas, Equipamentos, Veículos e Peças	PJ	20706727000104	22/02/1983		15/12/1995	ELISÃO POR INCORPORAÇÃO	CANCELADA	15/12/1995					SOTECONTI AUDITORES INDEP SC	60911237000156	SEDE	AV BRIGADEIRO FARIA LIMA 2000			SÃO PAULO	SP	BRASIL		(11) 2206379			DIRETOR DE RELAÇÕES COM INVESTIDORES	JONES CORREIA DOS SANTOS	22/02/1983	AV IPIRANGA, 952 4 AND			SÃO PAULO	SP		1040000	(11) 2206379			BALCÃO NÃO ORGANIZADO
1910	BRASILIT SA	BRASILIT	EXTRAÇÃO MINERAL	PJ	61064838000133	12/12/1979		01/06/2001	ATENDIMENTO AS NORMAS DA INSTR CVM 229/95	CANCELADA	01/06/2001					PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES	61562112000120	SEDE	AV. SANTA MARINA, 482/1 ANDAR		AGUA BRANCA	SÃO PAULO	SP	BRASIL		(11) 36135800	(11) 36111598		DIRETOR DE RELAÇÕES COM INVESTIDORES	CARLOS WILLIAM DE MACEDO FERREIRA	12/12/1979	AV JUSCELINO KUBISCHEK, 1830		T3 7 AND - ITAIM BIBI	SÃO PAULO	SP		4543900	(11) 36135800	(0011) 36111598		BOLSA
1929	BRASILJUTA SA FIACAO TEC JUTA	BRASILJUTA	TEXTIL E VESTUÁRIO	PJ	33177734000108	28/08/1971		01/03/1993	ATENDIMENTO AS NORMAS DA INSTR CVM 03/78	CANCELADA	01/03/1993					LOUDON BLOMQUIST AUDITORES INDEPENDENTES	33179672000165	SEDE	RUA GUILHERMINA GUINLE, 272			MANAUS	AM	BRASIL		(21) 22864422			DIRETOR DE RELAÇÕES COM INVESTIDORES	MARCIO BRAZIL LENZ CESAR	28/08/1971	AV RIO BRANCO 25 20 ANDAR			RIO DE JANEIRO	RJ		20093000	(21) 2762439			BOLSA
1945	BRASIMET COM E INDUSTRIA SA	BRASIMET	Construção Civil, Mat. Constr. e Decoração	PJ	60856820000101	06/08/1971		15/09/1993	ATENDIMENTO AS NORMAS DA INSTR CVM 03/78	CANCELADA	15/09/1993					PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES	61562112000120	SEDE	AV DAS NACOES UNIDAS 21476			SÃO PAULO	SP	BRASIL		(11) 5220133			DIRETOR DE RELAÇÕES COM INVESTIDORES	SALO DAVI SEIBEL	06/08/1971	AV DAS NACOES UNIDAS 21476			SÃO PAULO	SP		4795912	(11) 5220133			BOLSA
4820	BRASKEM S.A.	BRASKEM	Petroquímicos e Borracha	PJ	42150391000170	18/12/1978	18/06/1974			ATIVO	18/12/1978	FASE OPERACIONAL	18/12/1978	Categoria A	01/01/2010	KPMG AUDITORES INDEPENDENTES	57755217000129	SEDE	Rua Eteno, Nº 1561	Polo petroquimico	Copec		BA	BRASIL		(071) 34131897	(71) 34131536	braskem-ri@braskem.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	PEDRO VAN LANGENDONCK TEIXEIRA DE FREITAS	01/04/2016	RUA LEMOS MONTEIRO, 120	24º ANDAR	BUTANTÃ	SÃO PAULO	SP		5501050	(11) 35769531	(11) 35769532	braskem-ri@braskem.com.br	BOLSA
1961	BRASMETAL CIA BRAS METALURGIA	BRASMETAL	EMP. ADM. PARTICIPAÇÕES	PJ	60837689000135	29/07/1969		28/12/1990	ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78	CANCELADA	28/12/1990					REVISORA NACIONAL AUD. INDEP.	33036252000120	SEDE	AV PAULISTA 1439/7 CONJ 73			SÃO PAULO	SP	BRASIL		(11) 2830400			DIRETOR DE RELAÇÕES COM INVESTIDORES	DARIO FERREIRA GUARITA FILHO	29/07/1969	ALAMEDA SANTOS 1800/13 CONJ B			SÃO PAULO	SP		30110000	(11) 2830400			BALCÃO NÃO ORGANIZADO
1970	BRASMOTOR SA	BRASMOTOR S.A	Máquinas, Equipamentos, Veículos e Peças	PJ	61084984000120	08/08/1969	25/07/1945	22/12/2016	Cancelamento Voluntário - IN CVM 480/09	CANCELADA	22/12/2016	FASE OPERACIONAL	08/08/1969	Categoria A	01/01/2010	GRANT THORNTON AUDITORES INDEPENDENTES	10830108000165	SEDE	Avenida das Nações Unidas, 12995	32º andar	Brooklin Novo	SÃO PAULO	SP	BRASIL		(11) 37876102	(11) 37876484	investidores@whirlpool.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	ARTHUR HENRIQUE DE AGUIAR CANÇADO AZEVEDO	16/02/2012	AV. DAS NAÇOES UNIDAS, 12995	32 ANDAR	BROOKLIN NOVO	SÃO PAULO	SP		4578000	(11) 37876102	(11) 37876484	investidores@whirlpool.com	BOLSA
